"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
"AOST22546","Adidas City Tech One AOST22546 Montre Hommes Chronographe","<p><b>Adidas City Tech One </b><b>AOST22546 Analogique Num&eacute;rique Montre Hommes Chronographe</b></p>  <ul>      <li>Bo&icirc;tier en resin, brun, mat</li>      <li>Bracelet en silicone, brun, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Timer</li>      <li>Heure mondiale</li>      <li>Fonction d'alarme</li>      <li>Affichage de la date</li>      <li>&Eacute;clairage</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 45 mm</li>      <li>Taille du bo&icirc;tier d'environ 14 mm</li>  </ul>  <p>Livr&eacute; avec livret et la bo&icirc;te.</p>","Adidas","Montres Marque","Adidas City Tech One AOST22546 Montre Hommes Chronographe","FALSE","","","","","","","AOST22546","","shopify","0","deny","manual","48.60","","TRUE","FALSE","840190028879","https://shop.heinrichssohn.de/images/product_images/original_images/AOST22546.jpg","Adidas City Tech One AOST22546 Montre Hommes Chronographe","","","","","","Adidas City Tech One AOST22546 Montre Hommes Chronographe","Adidas City Tech One AOST22546 Montre Hommes Chronographe","","","","","","","","","","",""
"AOST23057","Adidas City Tech One AOST23057 Montre Hommes Chronographe","<p><b>Adidas City Tech One AOST23057 </b><b>Analogique Num&eacute;rique Montre Hommes Chronographe</b></p>  <ul>      <li>Bo&icirc;tier en resin, transparent, mat</li>      <li>Bracelet en silicone, transparent, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Timer</li>      <li>Heure mondiale</li>      <li>Fonction d'alarme</li>      <li>Affichage de la date</li>      <li>&Eacute;clairage</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 45 mm</li>      <li>Taille du bo&icirc;tier d'environ 14 mm</li>  </ul>  <p>Livr&eacute; avec livret et la bo&icirc;te.</p>","Adidas","Montres Marque","Adidas City Tech One AOST23057 Montre Hommes Chronographe","FALSE","","","","","","","AOST23057","","shopify","0","deny","manual","48.60","","TRUE","FALSE","840190029517","https://shop.heinrichssohn.de/images/product_images/original_images/AOST23057.jpg","Adidas City Tech One AOST23057 Montre Hommes Chronographe","","","","","","Adidas City Tech One AOST23057 Montre Hommes Chronographe","Adidas City Tech One AOST23057 Montre Hommes Chronographe","","","","","","","","","","",""
"AOST23059","Adidas City Tech One AOST23059 Montre Hommes Chronographe","<p><b>Adidas City Tech One AOST23059 </b><b>Analogique Num&eacute;rique Montre Hommes Chronographe</b></p>  <ul>      <li>Bo&icirc;tier en resin, gris, mat</li>      <li>Bracelet en silicone, gris, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Timer</li>      <li>Heure mondiale</li>      <li>Fonction d'alarme</li>      <li>Affichage de la date</li>      <li>&Eacute;clairage</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 45 mm</li>      <li>Taille du bo&icirc;tier d'environ 14 mm</li>  </ul>  <p>Livr&eacute; avec livret et la bo&icirc;te.</p>","Adidas","Montres Marque","Adidas City Tech One AOST23059 Montre Hommes Chronographe","FALSE","","","","","","","AOST23059","","shopify","0","deny","manual","48.60","","TRUE","FALSE","840190029531","https://shop.heinrichssohn.de/images/product_images/original_images/AOST23059.jpg","Adidas City Tech One AOST23059 Montre Hommes Chronographe","","","","","","Adidas City Tech One AOST23059 Montre Hommes Chronographe","Adidas City Tech One AOST23059 Montre Hommes Chronographe","","","","","","","","","","",""
"AOST23061","Adidas City Tech Two AOST23061 Montre Hommes Chronographe","<p><b>Adidas City Tech Two AOST23061 </b><b>Num&eacute;rique Montre Hommes Chronographe</b></p>  <ul>      <li>Bo&icirc;tier en resin, bleu, mat</li>      <li>Bracelet en silicone, bleu, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Timer</li>      <li>Dualtime</li>      <li>Fonction d'alarme</li>      <li>Calendrier</li>      <li>&Eacute;clairage</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 45 mm</li>      <li>Taille du bo&icirc;tier d'environ 14 mm</li>  </ul>  <p>Livr&eacute; avec livret et la bo&icirc;te.</p>","Adidas","Montres Marque","Adidas City Tech Two AOST23061 Montre Hommes Chronographe","FALSE","","","","","","","AOST23061","","shopify","0","deny","manual","42.50","","TRUE","FALSE","840190029555","https://shop.heinrichssohn.de/images/product_images/original_images/AOST23061.jpg","Adidas City Tech Two AOST23061 Montre Hommes Chronographe","","","","","","Adidas City Tech Two AOST23061 Montre Hommes Chronographe","Adidas City Tech Two AOST23061 Montre Hommes Chronographe","","","","","","","","","","",""
"AOSY23041","Adidas Code Four AOSY23041 Montre Hommes","<p><b>Adidas Code Four AOSY23041 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent, mat</li>      <li>Bracelet en nylon, bleu / gris, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran bleu</li>      <li>Largeur du bo&icirc;tier ca. 42 mm</li>      <li>Taille du bo&icirc;tier d'environ 9 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Code Four AOSY23041 Montre Hommes","TRUE","","","","","","","AOSY23041","","shopify","2","deny","manual","41.60","","TRUE","FALSE","840190029838","https://shop.heinrichssohn.de/images/product_images/original_images/AOSY23041.jpg","Adidas Code Four AOSY23041 Montre Hommes","","","","","","Adidas Code Four AOSY23041 Montre Hommes","Adidas Code Four AOSY23041 Montre Hommes","","","","","","","","","","",""
"AOSY22517","Adidas Code Three AOSY22517 Montre Hommes","<p><b>Adidas Code Three AOSY22517 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement noir et gris, mat</li>      <li>Bracelet en silicone, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran argent</li>      <li>Largeur du bo&icirc;tier ca. 40 mm</li>      <li>Taille du bo&icirc;tier d'environ 9 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Code Three AOSY22517 Montre Hommes","TRUE","","","","","","","AOSY22517","","shopify","1","deny","manual","35.60","","TRUE","FALSE","840190029067","https://shop.heinrichssohn.de/images/product_images/original_images/AOSY22517.jpg","Adidas Code Three AOSY22517 Montre Hommes","","","","","","Adidas Code Three AOSY22517 Montre Hommes","Adidas Code Three AOSY22517 Montre Hommes","","","","","","","","","","",""
"AOST22047","Adidas Digital One GMT AOST22047 Montre Hommes Chronographe","<p><b>Adidas Digital One GMT AOST22047 Montre Hommes Chronographe Num&eacute;rique</b></p>  <ul>      <li>Bo&icirc;tier en resin, bleu, mat</li>      <li>Bracelet en silicone, bleu, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Affichage de jour, Affichage de la date</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Fonction d'alarme</li>      <li>Timer</li>      <li>Heure mondiale, GMT</li>      <li>Lumi&egrave;re</li>      <li>Couleur du display bleu</li>      <li>Largeur du bo&icirc;tier d'environ 47 mm</li>      <li>Taille du bo&icirc;tier d'environ 12 mm</li>  </ul>  <p>Livr&eacute; avec bo&icirc;te.</p>","Adidas","Montres Marque","Adidas Digital One GMT AOST22047 Montre Hommes Chronographe","FALSE","","","","","","","AOST22047","","shopify","0","deny","manual","29.80","","TRUE","FALSE","840190028046","https://shop.heinrichssohn.de/images/product_images/original_images/AOST22047.jpg","Adidas Digital One GMT AOST22047 Montre Hommes Chronographe","","","","","","Adidas Digital One GMT AOST22047 Montre Hommes Chronographe","Adidas Digital One GMT AOST22047 Montre Hommes Chronographe","","","","","","","","","","",""
"AOFH22007","Adidas Edition One AOFH22007 Montre Hommes Chronographe","<p><b>Adidas Edition One AOFH22007 Montre Hommes Chronograph</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement gris, mat</li>      <li>Bracelet en acier inoxydable, rev&ecirc;tement gris, mat, fermoir d&eacute;ployante</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Affichage de la date</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran grey</li>      <li>Largeur du bo&icirc;tier d'environ 40 mm</li>      <li>Taille du bo&icirc;tier d'environ 9 mm</li>  </ul>  <p>Livr&eacute; avec bo&icirc;te.</p>","Adidas","Montres Marque","Adidas Edition One AOFH22007 Montre Hommes Chronographe","TRUE","","","","","","","AOFH22007","","shopify","2","deny","manual","56.60","","TRUE","FALSE","840190027773","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22007.jpg","Adidas Edition One AOFH22007 Montre Hommes Chronographe","","","","","","Adidas Edition One AOFH22007 Montre Hommes Chronographe","Adidas Edition One AOFH22007 Montre Hommes Chronographe","","","","","","","","","","",""
"AOFH22513","Adidas Edition One AOFH22513 Montre Hommes","<p><b>Adidas Edition One AOFH22513 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or, mat / polies</li>      <li>Bracelet en cuir, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran or</li>      <li>Largeur du bo&icirc;tier ca. 39 mm</li>      <li>Taille du bo&icirc;tier d'environ 10 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition One AOFH22513 Montre Hommes","FALSE","","","","","","","AOFH22513","","shopify","0","deny","manual","44.60","","TRUE","FALSE","840190028701","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22513.jpg","Adidas Edition One AOFH22513 Montre Hommes","","","","","","Adidas Edition One AOFH22513 Montre Hommes","Adidas Edition One AOFH22513 Montre Hommes","","","","","","","","","","",""
"AOFH23010","Adidas Edition One AOFH23010 Montre Hommes","<p><b>Adidas Edition One AOFH23010 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent et or, mat / polies</li>      <li>Bracelet en acier inoxydable, rev&ecirc;tement de couleur argent et or, mat / polies, fermoir d&eacute;ployante</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran noir / or</li>      <li>Largeur du bo&icirc;tier ca. 39 mm</li>      <li>Taille du bo&icirc;tier d'environ 10 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition One AOFH23010 Montre Hommes","TRUE","","","","","","","AOFH23010","","shopify","2","deny","manual","56.60","","TRUE","FALSE","840190029326","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH23010.jpg","Adidas Edition One AOFH23010 Montre Hommes","","","","","","Adidas Edition One AOFH23010 Montre Hommes","Adidas Edition One AOFH23010 Montre Hommes","","","","","","","","","","",""
